住居名,url,家賃,住所,最寄り駅,岡山駅までの距離,学校までの距離,間取り,専用設備,共通設備
シティハイツ岩田,https://unilife.co.jp/view/10366,3.85万円 ～ 5.15万円,岡山県岡山市北区岩田町5-3,ＪＲ山陽本線「岡山」駅 徒歩5分,550 m,3.4 km,1K／25m²～28m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家具家電付 / 居室照明器具 / バルコニー / フローリング / シューズケース / 収納 / インターフォン（TVモニター付) / エアコン,BSアンテナ / CSアンテナ / インターネット対応 / 防犯カメラ / エレベーター / 宅配BOX / 駐輪場
カサ・コン・ディオス,https://unilife.co.jp/view/1276,3.8万円 ～ 4.6万円,岡山県岡山市北区駅前町2丁目7-3,"岡電バス「岡ビル前」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩5分
岡山電気軌道東山本線「岡山駅前」駅 徒歩7分
岡山電気軌道東山本線「西川緑道公園」駅 徒歩6分",500 m,3.4 km,1K／18.8m²～21.45m²／6.3帖～7帖,ユニットバス / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / 居室照明器具 / バルコニー / フローリング / シューズケース / 収納 / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / エレベーター / 宅配BOX / 駐輪場(原付可)
グレースシャトル本町D棟,https://unilife.co.jp/view/702273,4.8万円,岡山県岡山市北区津島本町5-6-4,"岡電バス「妙善寺」停徒歩4分
ＪＲ津山線「法界院」駅 自転車9分(約2.1km)
ＪＲ吉備線「備前三門」駅 自転車13分(約3.0km)
ＪＲ山陽新幹線「岡山」駅 自転車14分(約3.3km)",2.9 km,1.1 km,1K／24.9m²／8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン / オール電化(ガス無し),インターネット対応 / オートロック / 駐輪場 / 駐車場(任意)
フローラ伊島,https://unilife.co.jp/view/1001263,3.5万円 ～ 3.8万円,岡山県岡山市北区伊島町2丁目21-24,"岡電バス「津島新道」停徒歩1分
ＪＲ山陽本線「岡山」駅 自転車11分(約2.5km)
ＪＲ津山線「法界院」駅 自転車9分(約2.1km)",2.1 km,1.1 km,1K／25.68m²～32.1m²／9帖～11.7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 電気コンロ / フローリング / バルコニー / 収納 / シューズケース / インターフォン,インターネット対応 / オートロック / 駐輪場
AXIS伊島,https://unilife.co.jp/view/1002980,5.9万円 ～ 6.4万円,岡山県岡山市北区伊島町2丁目21-23,"岡電バス「津島新道」停徒歩1分
ＪＲ津山線「法界院」駅 自転車9分(約2.1km)",2.1 km,1.0 km,1K／29.57m²～30m²／10帖～10.1帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(2口) / システムキッチン / フローリング / 収納 / シューズケース / インターフォン / エアコン,CATV / インターネット対応（無料） / オートロック / 防犯カメラ / エレベーター / 駐輪場
グランデール伊島,https://unilife.co.jp/view/1002926,3.2万円 ～ 4.2万円,岡山県岡山市北区伊島町3丁目2‐2,"岡電バス「児童会館前」停徒歩7分
ＪＲ吉備線「備前三門」駅 自転車9分(約2.2km)",2.1 km,1.3 km,1R／20.15m²～25.55m²／7.5帖～10帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 電気コンロ / バルコニー / 収納 / シューズケース / インターフォン / エアコン,インターネット対応（無料） / オートロック / エレベーター / 駐輪場
グリーンハウスメグミ,https://unilife.co.jp/view/920762,3.3万円 ～ 3.4万円,岡山県岡山市北区津島福居1丁目131,ＪＲ津山線「法界院」駅 自転車8分(約1.8km),3.0 km,1.6 km,1K／19.5m²／6帖,セパレート（バス・トイレ） / 洗濯機 / 洗濯機置場(室外) / 温水洗浄便座 / IHコンロ / 冷蔵庫（２ドア） / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,インターネット対応 / 駐輪場
アピアコート谷万成,https://unilife.co.jp/view/701303,3万円,岡山県岡山市北区谷万成1丁目12-9,ＪＲ吉備線「備前三門」駅 徒歩19分,2.8 km,1.1 km,1K／21.66m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 居室照明器具 / 収納 / インターフォン / エアコン,インターネット対応（無料） / 駐車場(任意) / 駐輪場
グランディス,https://unilife.co.jp/view/700935,3.8万円,岡山県岡山市北区伊島町3丁目7-1,"岡電バス「伊島町二丁目」停徒歩8分
ＪＲ吉備線「備前三門」駅 自転車9分(約2.0km)",2.0 km,1.2 km,1K／24.69m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / フローリング / 収納 / シューズケース / インターフォン / エアコン,インターネット対応 / 駐輪場
津島新野レディースマンション,https://unilife.co.jp/view/700996,3.8万円 ～ 4.5万円,岡山県岡山市北区津島新野2丁目2-13,"岡電バス「武道館口」停徒歩1分
ＪＲ津山線「法界院」駅 徒歩18分",2.1 km,1.4 km,1K／23.04m²～30.24m²／8.4帖～8.9帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / フローリング / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,インターネット対応 / 駐輪場
ファンガーデン,https://unilife.co.jp/view/702336,3.5万円 ～ 4.4万円,岡山県岡山市北区津島南１丁目1-11,"岡電バス「武道館口」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩20分
ＪＲ山陽本線「岡山」駅 自転車11分(約2.5km)
ＪＲ津山線「岡山」駅 自転車11分(約2.5km)",2.1 km,1.2 km,1K／19.44m²～24.58m²／6帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,インターネット対応 / 駐輪場(原付可)
ユートピアン21,https://unilife.co.jp/view/701487,3.8万円 ～ 4.5万円,岡山県岡山市北区津島新野2丁目1-35,"ＪＲ津山線「法界院」駅 徒歩16分
ＪＲ山陽本線「岡山」駅 よりバス乗車「岡電バス武道館口」停から徒歩1分",1.9 km,1.6 km,1K／25.2m²～26.37m²／8.7帖～8.8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 居室照明器具 / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,インターネット対応 / 駐輪場
アルカディア,https://unilife.co.jp/view/703116,4万円 ～ 4.4万円,岡山県岡山市北区津島新野2丁目4-26,"ＪＲ津山線「法界院」駅 徒歩18分
ＪＲ山陽本線「岡山」駅 自転車12分(約2.7km)
ＪＲ山陽新幹線「岡山」駅 自転車12分(約2.7km)",2.2 km,1.4 km,1K／26.18m²／8.2帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / フローリング / バルコニー / 収納 / エアコン,インターネット対応 / 駐輪場(原付可)
シャトールネッサンス津高,https://unilife.co.jp/view/1001219,4万円 ～ 4.6万円,岡山県岡山市北区津高318-1,"岡電バス「中原」停徒歩4分
ＪＲ津山線「法界院」駅 自転車16分(約3.8km)
ＪＲ吉備線「備前三門」駅 自転車16分(約3.7km)
ＪＲ山陽新幹線「岡山」駅 自転車21分(約4.9km)",4.7 km,1.8 km,1K／24.6m²／7.5帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 居室照明器具 / フローリング / バルコニー / 収納 / エアコン,インターネット対応 / オートロック / 駐車場(任意) / 駐輪場
コーポプチⅠ,https://unilife.co.jp/view/10190,3.2万円 ～ 3.5万円,岡山県岡山市北区伊福町4丁目4-23,"岡電バス「岡工口」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩18分
ＪＲ津山線「岡山」駅 徒歩18分
ＪＲ吉備線「岡山」駅 徒歩18分",1.2 km,1.9 km,1K／19m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 居室照明器具 / 収納 / エアコン,インターネット対応（無料）
コーポラス伊福,https://unilife.co.jp/view/701916,4.2万円 ～ 4.5万円,岡山県岡山市北区伊福町3丁目25-5,"バス「岡工前」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩19分
ＪＲ津山線「岡山」駅 徒歩19分
ＪＲ吉備線「岡山」駅 徒歩19分",1.2 km,1.9 km,1K／25.9m²～32.4m²／8.7帖～11.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,オートロック / エレベーター / 駐輪場
ファイブ南方,https://unilife.co.jp/view/1001777,3.5万円 ～ 4.2万円,岡山県岡山市北区南方5丁目6-31,"岡電バス「スポーツセンター前」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩15分
ＪＲ山陽本線「岡山」駅 徒歩20分
ＪＲ津山線「岡山」駅 徒歩20分",1.4 km,2.3 km,1K／19.44m²～22.68m²／6帖～8帖,セパレート（バス・トイレ） / ユニットバス / 洗濯機置場(室内) / 電気コンロ / バルコニー / 収納 / エアコン,CATV / インターネット対応 / 駐輪場
岩田ビル第3,https://unilife.co.jp/view/704085,4.9万円,岡山県岡山市北区津倉町1-4-1,"中鉄バス「津倉町」停　徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩15分
ＪＲ吉備線「備前三門」駅 徒歩12分",1.1 km,2.3 km,1K／29.2m²／8.8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(2口) / システムキッチン / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / インターフォン / エアコン,インターネット対応（無料） / オートロック / 駐輪場 / 駐車場(任意)
磯島コーポ,https://unilife.co.jp/view/700904,3.5万円,岡山県岡山市北区伊福町3丁目18-30,"バス「岡工前」停徒歩2分
ＪＲ山陽本線「岡山」駅 徒歩15分
ＪＲ津山線「岡山」駅 徒歩15分
ＪＲ山陽新幹線「岡山」駅 徒歩15分",1.0 km,2.1 km,1K／20m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / 収納 / エアコン,駐輪場
あるふぁ南方Ⅰ,https://unilife.co.jp/view/702943,3万円,岡山県岡山市北区南方4丁目8-4,"岡電バス「スポーツセンター前」停徒歩4分
ＪＲ津山線「法界院」駅 徒歩14分
ＪＲ山陽本線「西川原」駅 自転車8分(約1.8km)
ＪＲ山陽本線「岡山」駅 自転車8分(約1.8km)",1.6 km,2.6 km,1K／19.8m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / フローリング / バルコニー / 収納 / エアコン,インターネット対応 / 駐輪場
岩田ビル第一,https://unilife.co.jp/view/704084,4.4万円 ～ 4.5万円,岡山県岡山市北区昭和町10-16,ＪＲ山陽本線「岡山」駅 徒歩9分,650 m,2.9 km,1K／27.53m²～29.81m²／7.5帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,オートロック / エレベーター / 駐輪場
フェリーチェ高柳,https://unilife.co.jp/view/10125,"4.9万円 ～ 5.2万円
（1LDKタイプ：5.6万円～5.9万円）",岡山県岡山市北区高柳東町13-67,"岡電バス「下伊福2丁目」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩16分",1.5 km,3.2 km,1K～1LDK／28.14m²～39.47m²／10帖～16.7帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IH+RHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,BSアンテナ / CSアンテナ / インターネット対応 / オートロック / 駐輪場(原付可) / 駐車場(任意)
